,GarageArea,SalePrice,LotArea
471,534,190000,11952
472,525,148000,3675
473,908,440000,14977
474,499,251000,5330
475,624,132500,8480
476,508,208900,13125
477,694,380000,13693
478,826,297000,10637
479,672,89471,5925
480,772,326000,16033
481,874,374000,11846
482,164,155000,2500
483,402,164000,4500
484,264,132500,7758
485,264,147000,9600
486,515,156000,10289
487,487,175000,12243
488,520,160000,10800
489,286,86000,1526
490,336,115000,2665
491,240,133000,9490
492,429,172785,15578
493,308,155000,7931
494,273,91300,5784
496,546,430000,12692
497,240,184000,9120
498,288,130000,7800
499,297,120000,7535
500,264,113000,1890
501,603,226700,9803
502,461,140000,9170
503,484,289000,15602
504,440,147000,2308
505,400,124500,7596
506,471,215000,9554
507,676,208300,7862
508,360,161000,9600
509,270,124500,9600
510,288,164900,14559
511,474,202665,6792
512,624,129900,9100
513,484,134000,9187
514,200,96500,10594
515,900,402861,12220
516,583,158000,10448
517,889,265000,10208
518,546,211000,9531
519,282,234000,10918
521,336,150000,11988
522,420,159000,5000
524,834,315750,11787
525,453,176000,7500
526,252,132000,13300
527,858,446261,14948
530,600,175000,10200
531,502,128000,6155
532,392,107500,7200
534,403,178000,9056
536,527,188000,8924
537,576,111250,12735
538,336,158000,11553
539,670,272000,11423
540,765,315000,14601
541,648,248000,11000
542,583,213250,10140
543,367,133000,4058
544,426,179665,17104
545,786,229000,13837
546,440,210000,8737
547,624,129500,7244
548,720,125000,8235
549,615,263000,9375
550,440,140000,4043
551,288,112500,6000
552,908,255500,11146
553,520,108000,8777
554,871,284000,10625
555,280,113000,6380
556,299,141000,14850
557,570,108000,11040
559,420,234000,3196
560,528,121500,11341
561,418,170000,10010
564,590,268000,13346
565,216,128000,6858
566,656,325000,11198
567,532,214000,10171
568,612,316600,12327
569,600,135960,7032
570,576,142600,13101
571,288,120000,7332
572,650,224500,13159
573,400,170000,9967
574,288,139000,10500
575,336,118500,8480
576,216,145000,6292
577,564,164500,11777
578,540,146000,3604
579,352,131500,12150
580,572,181900,14585
581,1390,253293,12704
583,880,325000,13500
584,240,133000,6120
585,880,369900,11443
586,275,130000,10267
587,528,137000,8740
589,308,79500,9100
590,520,185900,8320
591,842,451950,13478
592,816,138000,6600
593,420,140000,4435
594,280,110000,7990
595,758,319000,11302
596,216,114504,3600
597,648,194201,3922
598,621,217500,12984
599,452,151000,1950
600,736,275000,10927
601,544,141000,9000
602,506,220000,10041
603,480,151000,3182
604,530,221000,12803
605,486,205000,13600
606,576,152000,12464
607,230,225000,7800
608,380,359100,12168
609,261,118500,7943
610,736,313000,11050
611,564,148000,10395
612,531,261500,11885
615,480,137500,8800
616,393,183200,7861
617,528,105500,7227
618,774,314813,11694
619,749,305000,12244
621,624,240000,10800
622,484,135000,7064
623,440,168500,2117
624,484,165150,10400
625,440,160000,10000
626,286,139900,12342
627,364,153000,9600
628,504,135000,11606
629,520,168500,9020
630,240,124000,9000
631,627,209500,4590
632,544,82500,11900
633,260,139400,9250
634,576,144000,6979
637,256,93000,6000
639,648,264561,3982
640,588,274000,12677
641,650,226000,7050
642,538,345000,13860
643,462,152000,10793
644,478,370878,9187
645,576,143250,10530
646,420,98300,7200
647,495,155000,10452
648,442,155000,7700
650,562,205950,8125
651,296,108000,9084
652,512,191000,8750
653,216,135000,10320
654,839,350000,10437
655,264,88000,1680
656,312,145500,10007
657,270,149000,7200
658,330,97500,17503
659,480,167000,9937
660,550,197900,12384
662,576,110000,13560
663,588,137500,10012
665,504,230500,11194
666,596,129000,18450
667,575,193500,8125
668,576,168000,14175
669,252,137500,11600
670,540,173500,8633
671,300,103600,6629
672,546,165000,11250
673,416,257500,14442
674,384,140000,9200
675,440,148500,2289
676,779,87000,9600
677,240,109500,9022
678,834,372500,11844
679,572,128500,9945
680,264,143000,8012
681,281,159434,4500
682,431,173000,2887
683,702,285000,11248
684,486,221000,16770
685,577,207500,5062
686,578,227875,10207
687,480,148800,5105
688,567,392000,8089
689,460,194700,7577
690,420,141000,4426
693,326,108480,5400
694,576,141500,6120
695,551,176000,13811
696,205,89000,6000
697,308,123500,6420
698,336,138500,8450
699,530,196000,4282
700,765,312500,14331
701,528,140000,9600
702,666,361919,12438
703,672,140000,7630
704,606,213000,8400
707,550,254000,6240
708,400,179540,9018
709,408,109900,7162
711,384,102776,8712
712,472,189000,4671
713,576,129000,9873
714,475,130500,13517
715,478,165000,10140
716,704,159500,10800
717,439,157000,10000
718,983,341000,10542
719,300,128500,9920
720,564,275000,6563
721,420,143000,4426
722,463,124500,8120
723,548,135000,8172
724,768,320000,13286
725,660,120500,6960
727,632,194500,7314
728,888,110000,11475
729,539,103000,6240
730,608,236500,5389
731,438,187500,9590
732,541,222500,11404
733,264,131400,10000
734,300,108000,8978
735,320,163000,10800
736,400,93500,8544
737,800,239900,10463
739,572,190000,9313
740,360,132000,9600
741,288,142000,6768
742,539,179000,8450
743,480,175000,12886
744,462,180000,5395
745,831,299800,8963
746,554,236000,8795
747,864,265979,11700
748,527,260400,10593
749,240,98000,8405
751,400,162000,7750
752,576,217000,9236
753,878,275500,10240
754,440,156000,7930
755,440,172500,3230
756,578,212000,10769
757,440,158900,11616
758,440,179400,2280
759,752,290000,12257
760,300,127500,9100
761,440,100000,6911
762,614,215200,8640
763,856,337000,9430
764,481,270000,9549
765,592,264132,14587
766,496,196500,10421
767,423,160000,12508
768,484,216837,9100
770,576,134900,7252
771,396,102000,8877
772,672,107000,7819
773,275,114500,10150
774,895,395000,14226
775,412,162000,4500
776,865,221500,11210
777,440,142500,13350
778,630,144000,8400
779,504,135000,10530
780,402,176000,7875
781,484,175900,7153
782,605,187100,16285
783,602,165500,9101
785,457,161500,9790
786,416,139000,10800
787,618,233000,10142
788,281,107900,6000
789,444,187500,12205
790,397,160200,3182
791,539,146800,11333
792,455,269790,9920
793,474,225000,9158
794,409,194500,10832
795,476,171000,8400
796,528,143500,8197
797,240,110000,7677
798,820,485000,13518
799,240,175000,7200
800,603,200000,12798
801,440,109900,4800
802,410,189000,8199
803,1020,582933,13891
804,286,118000,9000
805,554,227680,12274
806,384,135500,9750
808,484,159950,13400
809,360,106000,8100
810,484,181000,10140
811,420,144500,4438
812,504,55993,8712
813,301,157900,9750
814,280,116000,8248
815,598,224900,12137
816,275,137000,11425
817,857,271000,13265
818,440,155000,8816
819,484,224000,6371
820,595,183000,7226
821,576,93000,6000
822,433,225000,12394
823,240,139500,9900
824,776,232600,11216
825,1220,385000,14803
827,527,189000,8529
829,480,147400,2544
830,458,166000,11900
831,480,151000,3180
832,613,237000,9548
833,472,167000,10004
834,456,139950,7875
835,436,128000,9600
836,812,153500,8100
837,264,100000,1680
838,352,144000,9525
839,240,130500,11767
840,400,140000,12155
841,686,157500,10440
842,490,174900,9020
844,720,153900,12665
845,611,171000,16647
846,425,213000,9317
847,338,133500,15523
849,512,187000,9600
850,420,131500,4435
851,400,215000,3196
852,240,164000,7128
853,645,158000,12095
854,454,170000,17920
855,260,127000,6897
856,576,147000,10970
857,343,174000,8125
858,479,152000,10400
859,619,250000,11029
860,216,189950,7642
861,504,131500,11625
862,480,152000,9672
863,672,132500,7931
864,529,250580,8640
865,902,148500,8750
866,870,248900,10656
867,544,129000,6970
868,672,169000,14762
869,574,236000,9938
870,308,109500,6600
871,523,200500,8750
872,414,116000,8892
873,288,133000,12144
874,200,66500,5720
875,550,303477,9000
877,738,350000,8834
878,576,148000,11782
879,336,136500,7000
880,450,157000,7024
881,400,187500,13758
882,389,178000,9636
883,440,118500,6204
884,288,100000,7150
885,506,328900,5119
886,588,145000,8393
887,300,135500,16466
888,621,268000,15865
889,505,149500,12160
890,576,122900,8064
891,440,172500,11184
892,264,154500,8414
893,354,165000,13284
894,400,118858,7018
895,483,140000,7056
896,327,106500,8765
897,528,142953,7018
898,820,611657,12919
899,288,135000,6993
900,684,110000,7340
901,756,153000,8712
902,393,180000,7875
903,690,240000,14859
904,288,125500,6173
905,280,128000,9920
906,865,255000,13501
907,180,250000,11500
908,484,131000,8885
909,390,174000,12589
910,480,154300,11600
911,252,143500,9286
912,450,88000,6120
913,871,145000,6270
914,528,173733,3000
915,286,75000,2001
916,308,35311,9000
917,284,135000,17140
918,833,238000,13125
919,601,176500,11029
920,471,201000,8462
922,397,169990,10237
923,533,193000,8012
924,612,207500,10240
925,540,175000,15611
926,656,285000,11999
927,486,176000,9900
928,522,236500,11838
929,642,222000,13006
930,610,201000,8925
931,429,117500,9100
932,788,320000,11670
933,570,190000,8487
935,528,79900,5825
936,555,184900,10083
937,689,253000,9675
938,868,239799,8760
940,574,150900,12640
941,390,214000,8755
944,525,137500,14375
945,456,124900,8820
946,796,143000,8163
947,808,270000,14536
948,474,192500,14006
949,676,197500,9360
950,720,129000,7200
951,300,119900,7800
952,396,133900,7200
953,530,172000,11075
955,492,145000,7136
956,462,124000,1300
957,576,132000,7420
958,531,185000,8450
959,484,155000,2572
961,619,272000,12227
962,440,155000,2308
963,702,239000,11923
964,510,214900,11316
965,393,178900,10237
966,256,160000,9600
967,260,135000,7390
969,264,140000,10382
971,474,173000,2268
972,264,99500,7892
973,480,182000,11639
974,532,167500,11414
975,490,165000,2651
977,569,199900,4274
978,400,110000,9450
979,480,139000,8816
980,588,178400,12122
981,676,336000,12203
982,388,159895,3182
983,779,255900,11250
984,539,126000,10125
985,240,125000,10880
986,255,117000,5310
987,606,395192,10159
988,551,195000,12046
989,614,197000,8125
990,870,348000,9452
991,424,168000,17671
992,440,187000,9760
993,564,173900,8846
994,786,337500,12456
995,305,121600,4712
996,368,136500,10659
997,615,185000,11717
998,210,91000,9786
999,632,206000,6762
1000,528,82000,10206
1001,216,86000,5400
1002,824,232000,11957
1003,528,136905,11500
1004,457,181000,3182
1005,328,149900,8385
1006,484,163500,12155
1007,286,88000,2217
1008,550,240000,12118
1012,180,165000,10592
1013,280,85000,7200
1014,240,119200,11664
1015,528,227000,8400
1016,478,203000,11883
1017,565,187500,5814
1018,402,160000,10784
1019,440,213490,3013
1020,451,176000,7024
1021,632,194000,7406
1022,160,87000,9439
1023,437,191000,3182
1024,665,287000,15498
1025,461,112500,7700
1026,461,167500,9300
1027,800,293077,9520
1028,240,105000,9492
1029,264,118000,1680
1031,672,197000,15863
1032,796,310000,14541
1033,900,230000,8125
1034,240,119750,6305
1035,290,84000,11500
1036,912,315500,12898
1037,905,287000,9240
1039,286,80000,1477
1040,484,155000,13125
1041,484,173000,9130
1042,624,196000,5381
1043,514,262280,11839
1044,542,278000,9600
1045,452,139600,13680
1046,716,556581,16056
1047,672,145000,9245
1049,308,84900,11100
1050,436,176485,8993
1051,440,200141,11175
1052,540,165000,9500
1053,364,144500,8562
1054,586,255000,11367
1055,478,180000,11361
1056,484,185850,7052
1058,836,335000,11308
1059,432,220000,11275
1060,582,213500,4920
1061,1248,81000,18000
1062,560,90000,13600
1063,440,110500,6000
1064,480,154000,11000
1065,533,328000,14000
1066,380,178000,7837
1067,442,167900,9760
1068,576,151400,3964
1069,576,135000,9600
1070,286,135000,10152
1071,441,154000,11700
1072,280,91500,7585
1073,440,159500,7950
1074,826,194000,8556
1075,240,219500,13125
1076,566,170000,10800
1077,299,138800,15870
1078,420,155900,4435
1079,299,126000,8775
1080,528,145000,11040
1081,308,133000,7500
1082,527,192000,8749
1083,461,160000,8800
1084,409,187500,13031
1085,564,147000,9069
1086,286,83500,1974
1087,1043,252000,10574
1088,380,137500,2522
1089,550,197000,3316
1090,400,92900,8544
1091,462,160000,2160
1092,576,136500,8400
1093,884,146000,9230
1094,308,129000,5868
1095,440,176432,9317
1097,461,170000,3696
1098,240,128000,6000
1099,478,157000,11880
1100,246,60000,8400
1101,280,119500,9758
1102,254,135000,7000
1103,539,159500,8910
1104,440,106000,2016
1105,712,325000,12256
1106,719,179900,10357
1108,463,181000,8063
1109,862,280000,11362
1110,431,188000,8000
1111,483,205000,10480
1112,308,129900,7100
1113,240,134500,8923
1114,326,117000,5400
1115,928,318000,12085
1116,527,184100,7750
1117,450,130000,9764
1118,300,140000,13825
1119,286,133700,7560
1120,308,118400,8263
1121,782,212900,10084
1122,288,112000,8926
1124,392,163900,9125
1125,672,115000,10434
1126,660,174000,3684
1127,630,259000,14572
1128,434,215000,11796
1129,672,140000,7200
1130,576,135000,7804
1132,205,117500,9900
1133,466,239500,9828
1134,460,169000,8773
1135,180,102000,6180
1136,288,119000,9600
1138,714,196000,9819
1139,495,144000,8731
1140,840,139000,7350
1141,484,197500,10304
1142,1052,424870,9965
1144,280,80000,12180
1145,225,149000,6240
1146,403,180000,11200
1147,234,174500,12000
1148,288,116900,5700
1149,324,143000,9000
1150,306,124000,8280
1151,528,149900,17755
1152,470,230000,14115
1153,432,120500,5890
1154,492,201800,13700
1155,528,218000,10768
1156,502,179900,9350
1157,626,230000,5001
1158,830,235128,11932
1159,540,185000,9120
1160,440,146000,2280
1161,924,224000,14778
1162,450,129000,8724
1163,400,108959,12900
1164,588,194000,16157
1165,644,233170,9541
1166,776,245350,10475
1167,472,173000,10852
1168,540,235000,13728
1170,358,171000,9880
1171,433,163000,9120
1172,625,171900,4017
1174,360,239000,16560
1175,541,285000,10678
1176,264,119500,6951
1177,210,115000,3950
1178,186,154900,7681
1180,693,250000,11170
1181,482,392500,5587
1182,813,745000,15623
1183,720,120000,10800
1185,392,104900,9738
1186,420,95000,10615
1187,757,262000,12461
1188,493,195000,8935
1189,442,189000,7500
1191,492,174000,2645
1192,250,125000,9600
1193,402,165000,4500
1194,299,158000,9364
1195,400,176000,8029
1196,660,219210,14054
1197,225,144000,8850
1198,573,178000,9100
1199,459,148000,11235
1200,280,116050,9353
1201,546,197900,10400
1202,216,117000,6000
1203,451,213000,9750
1204,495,153500,10140
1205,701,271900,14684
1206,384,107000,8900
1207,544,200000,9135
1208,506,140000,7763
1209,500,290000,10182
1210,462,189000,11218
1211,492,164000,12134
1212,234,113000,9340
1213,364,145000,10246
1214,300,134500,10205
1215,384,125000,7094
1216,539,112000,8930
1217,552,229456,8640
1220,288,115000,7800
1221,322,134000,8250
1222,315,143000,10496
1223,528,137900,10680
1224,388,184000,15384
1225,264,145000,10482
1226,668,214000,14598
1227,576,147000,8872
1228,1052,367294,8769
1229,404,127000,7910
1230,600,190000,18890
1231,540,132500,7728
1232,462,101800,9842
1233,531,142000,12160
1235,180,138887,13132
1236,474,175500,2628
1237,434,195000,12393
1238,484,142500,13072
1239,472,265900,9037
1240,543,224900,8158
1241,954,248328,9849
1242,528,170000,10625
1243,850,465000,13891
1244,400,230000,11435
1245,477,178000,12090
1246,615,186500,8125
1247,888,169900,12328
1248,396,129500,9600
1249,276,119000,7200
1250,522,244000,11160
1251,478,171750,3136
1252,288,130000,9858
1253,518,294000,17542
1254,397,165400,6931
1255,560,127500,6240
1256,691,301500,14303
1258,400,190000,9587
1259,460,151000,9750
1261,338,128900,9600
1262,304,161500,11250
1263,520,180500,13515
1264,511,181000,4060
1265,506,183900,3735
1266,308,122000,10120
1267,746,378500,13214
1268,1014,381000,14100
1269,315,144000,11344
1271,462,185750,9156
1272,288,137000,13526
1273,312,177000,11512
1274,552,139000,5362
1275,400,137000,11345
1276,497,162000,12936
1277,480,197900,17871
1278,577,237000,9473
1279,528,68400,7500
1280,544,227000,9808
1281,484,180000,8049
1282,484,150500,8800
1284,336,169000,9638
1285,280,132500,6000
1286,528,143000,9790
1288,499,278000,5664
1289,753,281000,11065
1290,484,180500,14112
1291,264,119500,1680
1292,432,107500,6600
1293,528,162900,10140
1294,572,115000,8172
1295,288,138500,8400
1296,525,155000,8700
1297,525,140000,3675
1299,305,154000,7500
1300,490,225000,10762
1301,213,177500,7500
1302,844,290000,10120
1303,834,232000,8688
1304,380,130000,3363
1305,840,325000,13173
1306,474,202500,6955
1307,480,138000,8072
1308,528,147000,12000
1309,496,179200,7153
1310,567,335000,17500
1311,508,203000,8814
1312,750,302000,9572
1313,779,333168,14774
1314,280,119000,8190
1315,576,206900,11075
1316,860,295493,10226
1317,466,208900,4230
1318,748,275000,14781
1319,248,111000,10215
1320,442,156500,8400
1321,287,72500,6627
1322,564,190000,10186
1324,895,147000,9986
1327,264,130500,6600
1328,520,256000,10440
1329,462,176500,9084
1330,825,227000,10000
1331,576,132500,10780
1332,288,100000,8877
1333,297,125500,7200
1334,440,125000,2368
1335,630,167900,9650
1336,506,135000,9246
1338,492,200000,13450
1339,288,128500,9560
1340,480,123000,8294
1341,576,155000,13695
1342,647,228500,9375
1343,342,177000,7558
1344,440,155835,11103
1345,308,108500,6000
1347,712,283463,15306
1348,514,215000,16196
1350,968,200000,11643
1351,490,171000,9247
1352,624,134900,6000
1353,666,410000,14720
1354,839,235000,10316
1355,487,170000,10192
1356,264,110000,9477
1357,500,149900,12537
1358,440,177500,2117
1359,770,315000,16737
1360,621,189000,9842
1361,430,260000,16158
1362,368,104900,12513
1363,432,156932,8499
1364,480,144152,3180
1365,663,216000,7500
1366,588,193000,9179
1367,336,127000,2665
1368,420,144000,4435
1369,502,232000,10635
1370,338,105000,5400
1371,377,165500,9600
1372,583,274300,9750
1373,804,466500,11400
1374,936,250000,10625
1375,722,239000,10991
1376,160,91000,6292
1377,660,117000,10998
1378,264,83000,1953
1379,400,167500,9735
1380,200,58500,8212
1381,550,237500,12925
1382,576,157000,7200
1384,280,105000,9060
1385,240,125500,5436
1386,564,250000,16692
1387,216,136000,8520
1388,758,377500,14892
1389,440,131000,6000
1390,541,235000,9100
1391,792,124000,8944
1392,288,123000,7838
1393,672,163000,10800
1394,648,246578,4045
1395,642,281213,12665
1397,180,137500,6120
1398,240,138000,7200
1399,216,137450,6171
1400,208,120000,6000
1401,398,193000,7415
1402,662,193879,6762
1403,754,282922,15256
1404,936,105000,10410
1405,482,275000,3842
1406,396,133000,8445
1408,528,125500,7740
1410,622,230000,12420
1411,271,140000,9600
1412,420,90000,7200
1413,620,257000,10994
1414,370,207000,13053
1415,660,175900,3635
1416,560,122500,11340
1417,1069,340000,16545
1418,336,124000,9204
1419,540,223000,16381
1420,776,179900,11700
1421,440,127500,4043
1422,420,136500,4435
1423,432,274970,19690
1424,484,144000,9503
1425,528,142000,10721
1426,525,271000,10944
1427,288,140000,10930
1428,240,119000,7200
1429,467,182900,12546
1431,440,143750,4928
1432,216,64500,10800
1433,451,186500,10261
1434,484,160000,17400
1435,462,174000,8400
1436,528,120500,9000
1437,774,394617,12444
1438,923,149700,7407
1439,550,197000,11584
1440,672,191000,11526
1441,420,149300,4426
1442,812,310000,11003
1443,192,121000,8854
1444,626,179600,8500
1445,240,129000,8400
1447,556,240000,10000
1448,384,112000,11767
1451,840,287090,9262
1452,525,145000,3675
1454,400,185000,7500
1455,460,175000,7917
1456,500,210000,13175
1457,252,266500,9042
1458,240,142125,9717
1459,276,147500,9937
